,name,function,chain,date
119,Bep Finance,Exit Scam,BSC,16.03.2021
120,Elastic Staking,Exit Scam,ETH,26.01.2021
121,Sifchain Finance,Honeypot,ETH,06.01.2021
122,Santa DAO,Exit Scam,ETH,26.10.2020
123,PineconeFinance,Exploit,BSC,18.08.2021
124,DistX,Exit Scam,ETH,14.12.2020
125,Magix,Exit Scam,ETH,25.12.2020
126,Astronaut NFT,Exit Scam,BSC,08.02.2021
127,Cover protocol (fake),Exit Scam,ETH,27.11.2020
128,Casper DeFi,Exploit,FANTOM,04.08.2021
129,KeeperDAO (fake),Honeypot,ETH,07.11.2020
130,Iron Finance,Exploit,BSC,16.03.2020
131,Walletreum,Exit Scam,ETH,15.11.2020
132,Tin Finance,Exit Scam,BSC,30.01.2021
133,Bancor (2),Exploit,ETH,18.06.2020
134,YFFS Finance,Exit Scam,ETH,11.12.2020
135,XYearn,Exit Scam,ETH,19.10.2020
136,MoltenSwap,Exit Scam,BSC,07.03.2021
137,Chessfarm.Tech,Exit Scam,BSC,11.11.2020
138,PancakeHunny,Exploit,BSC,03.06.2021
139,Dark Matter,Exit Scam,ETH,30.12.2020
140,Vice.Uno,Exit Scam,BSC,27.10.2020
141,INFI Governance and Utility Token,Exit Scam,ETH,26.01.2021
142,YZY DAO,Exit Scam,ETH,23.04.2021
143,Yearn Machine Learning,Exit Scam,ETH,21.01.2021
144,Aphrodite Protocol,Exit Scam,ETH,29.01.2021
145,Safe Dollar,Exploit,POLYGON,20.06.2021
146,Nifity,Exit Scam,ETH,22.01.2021
147,Dividend Token,Exit Scam,ETH,24.11.2020
148,CBDAO,Exit Scam,ETH,09.10.2020
149,NeedForSpeed Finance,Exit Scam,ETH,27.04.2021
150,OracleSwapToken,Honeypot,ETH,08.02.2021
151,Star Swap,Exit Scam,ETH,06.11.2020
152,Sakura DeFi,Exit Scam,ETH,14.02.2021
153,Bio Farm,Exit Scam,ETH,13.01.2021
154,Exvault Finance,Exit Scam,ETH,25.10.2020
155,YFFC,Exit Scam,ETH,06.11.2020
156,Solid Protocol,Exit Scam,ETH,19.12.2020
157,UniTarget,Exit Scam,ETH,25.12.2020
158,SLM Token,Honeypot,ETH,17.01.2021
159,Kosta Finance,Exit Scam,ETH,24.11.2020
160,YFDash,Exit Scam,ETH,14.12.2020
161,K33pr,Exit Scam,ETH,30.11.2020
162,Rise Protocol,Exit Scam,ETH,11.03.2021
163,RIFT Token,Exit Scam,ETH,31.12.2020
164,Poz finance,Exit Scam,BSC,22.01.2021
165,Hegic,Exploit,ETH,24.04.2020
166,Rapid Set Dollar,Exit Scam,ETH,26.12.2020
167,Prophet Project,Exit Scam,ETH,18.12.2020
168,Liquid Core,Exit Scam,ETH,29.10.2020
169,iProtocol,Exit Scam,ETH,21.12.2020
170,Galaxy DeFi,Honeypot,ETH,12.01.2021
171,Mars Farm,Exit Scam,BSC,04.03.2021
172,Orbit Swap,Exit Scam,BSC,08.02.2021
173,Solv3 network,Exit Scam,ETH,02.12.2020
174,Hype Bet,Exit Scam,ETH,29.11.2020
175,OKO TOKEN,Honeypot,ETH,07.12.2020
176,Holy Trinity,Exit Scam,ETH,18.01.2021
177,Yearnspace,Exit Scam,ETH,01.12.2020
178,MinterPro,Exit Scam,BSC,09.01.2021
179,MTI Finance,Exit Scam,ETH,19.11.2020
180,AutoTrade Finance,Honeypot,ETH,10.12.2020
181,Nemo Finance,Honeypot,ETH,26.10.2020
182,Reaper Finance,Exit Scam,ETH,07.12.2020
183,Apollo Swap,Honeypot,ETH,06.12.2020
184,NONAME,Exit Scam,ETH,15.02.2021
185,WOLF Protocol,Exit Scam,ETH,23.01.2021
186,Unidark,Exit Scam,ETH,08.10.2020
187,DiceSwap,Exit Scam,BSC,10.03.2021
188,Dragonswap,Exit Scam,BSC,16.03.2021
189,DARK DEFI,Honeypot,ETH,21.02.2021
190,Bondly Finance (FAKE),Honeypot,ETH,08.12.2020
191,Zenith Finance,Exit Scam,ETH,28.11.2020
192,WinPlay,Exit Scam,ETH,17.09.2020
193,TIM3,Exit Scam,ETH,23.11.2020
194,Horizon Finance,Exit Scam,BSC,18.03.2021
195,RUL3R Token,Exit Scam,ETH,27.11.2020
196,NarutoSwap,Exit Scam,BSC,19.03.2021
197,Static,Exit Scam,ETH,30.04.2021
198,Pacific Protocol,Exit Scam,ETH,01.01.2021
199,NanoCore,Abandoned,ETH,30.10.2020
